ds,y
21-Jan-2017,4186395.00
22-Jan-2017,3074247.47
23-Jan-2017,2893984.37
24-Jan-2017,3235278.65
25-Jan-2017,4712648.00
26-Jan-2017,4010925.72
27-Jan-2017,4567969.57
28-Jan-2017,4987428.17
29-Jan-2017,3620841.27
30-Jan-2017,2873606.72
31-Jan-2017,3715908.35
1-Feb-2017,5461769.90
2-Feb-2017,5048007.68
3-Feb-2017,5776037.63
4-Feb-2017,6622729.52
5-Feb-2017,4545369.75
6-Feb-2017,3817903.91
7-Feb-2017,4714519.80
8-Feb-2017,3776441.47
9-Feb-2017,3663886.65
10-Feb-2017,4494099.11
11-Feb-2017,4909215.43
12-Feb-2017,3847374.51
13-Feb-2017,4461359.64
14-Feb-2017,5261140.00
15-Feb-2017,4238562.55
16-Feb-2017,4173490.27
17-Feb-2017,5251503.08
18-Feb-2017,5273843.45
19-Feb-2017,4139052.42
20-Feb-2017,3585796.72
21-Feb-2017,3427467.56
22-Feb-2017,4982599.27
23-Feb-2017,4852596.25
24-Feb-2017,5400424.18
25-Feb-2017,5552201.02
26-Feb-2017,4365845.46
27-Feb-2017,3341540.92
28-Feb-2017,4338645.70
1-Mar-2017,4266376.74
2-Mar-2017,4438279.79
3-Mar-2017,5343598.68
4-Mar-2017,5302715.14
5-Mar-2017,4064046.98
6-Mar-2017,3558187.95
7-Mar-2017,3773002.66
8-Mar-2017,4047300.31
9-Mar-2017,4158770.53
10-Mar-2017,4790419.59
11-Mar-2017,5060612.92
12-Mar-2017,3927106.54
13-Mar-2017,3367508.67
14-Mar-2017,3643234.52
15-Mar-2017,6545194.19
16-Mar-2017,5638287.70
17-Mar-2017,6531944.43
18-Mar-2017,7151550.28
19-Mar-2017,5632292.65
20-Mar-2017,4504407.32
21-Mar-2017,5238397.98
22-Mar-2017,4015242.08
23-Mar-2017,4046758.68
24-Mar-2017,4773838.07
25-Mar-2017,4870262.61
26-Mar-2017,3840555.20
27-Mar-2017,3774389.26
28-Mar-2017,3850370.44
29-Mar-2017,5913032.81
30-Mar-2017,5225430.02
31-Mar-2017,6910477.73
1-Apr-2017,6874936.22
2-Apr-2017,5338679.23
3-Apr-2017,3471460.83
4-Apr-2017,3752548.41
5-Apr-2017,3986362.52
6-Apr-2017,3714673.87
7-Apr-2017,4808426.44
8-Apr-2017,4848913.30
9-Apr-2017,3850485.40
10-Apr-2017,3670688.97
11-Apr-2017,3894404.87
12-Apr-2017,4779368.22
13-Apr-2017,5218751.42
14-Apr-2017,6123749.56
15-Apr-2017,6477703.92
16-Apr-2017,3422877.11
17-Apr-2017,3697695.71
18-Apr-2017,3731455.68
